tipo	ga	versao	origem	scope	divergente
direta	org.springframework:spring-context	7.0.9	effective-pom	compile	
direta	jakarta.persistence:jakarta.persistence-api	3.2.0	effective-pom	compile	
direta	jakarta.annotation:jakarta.annotation-api	3.0.0	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	effective-pom	compile	
direta	org.projectlombok:lombok	1.18.46	effective-pom	compile	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
direta	org.junit.platform:junit-platform-launcher	6.0.3	effective-pom	test	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.slf4j:slf4j-api	2.0.18	transitiva	compile	
transitiva	org.springframework:spring-aop	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-beans	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-core	7.0.9	transitiva	compile	
transitiva	org.springframework:spring-expression	7.0.9	transitiva	compile	
